# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.624782977288275,3.4809743359999956,1.0,180.0,3.161139480630361,-3.000000000000021,0,-57.92293091580734,0.0,99.48682882217152
 1.6353787583570707,3.4476479999999965,1.0,180.0,3.129352137423974,-3.0,0,-56.86879025837885,0.0,98.53524594637301
 1.6460237701522602,3.4145059839999963,1.0,180.0,3.0974171020384054,-3.0,0,-55.81988140303781,0.0,97.58118513238911
 1.6567175470004347,3.381554431999996,1.0,180.0,3.065335771493882,-3.0,0,-54.77636998465164,0.0,96.62474873472854
 1.6674596106277457,3.3487994879999965,1.0,180.0,3.0331095806119492,-2.9999999999999587,0,-53.738420785770245,0.0,95.66604261354176
 1.6782494692543406,3.316247295999996,1.0,180.0,3.0007400047321644,-3.0000000000000204,0,-52.70619771060433,0.0,94.70517624248039
 1.689086616622434,3.283903999999996,1.0,180.0,2.9682285626278837,-3.0000000000000204,0,-51.6798637591433,0.0,93.74226283096061
 1.699970530952166,3.251775743999996,1.0,180.0,2.9355768196386878,-3.0000000000000204,0,-50.659581001415916,0.0,92.77741946215822
 1.7109006738187993,3.219868671999996,1.0,180.0,2.902786391038788,-3.0,0,-49.64551055189696,0.0,91.81076724781295
 1.7218764889441753,3.188188927999996,1.0,180.0,2.8698589456626595,-3.0000000000000204,0,-48.63781254406604,0.0,90.84243150187872
 1.7328974008946147,3.156742655999996,1.0,180.0,2.8367962098113413,-3.0,0,-47.63664610512001,0.0,89.8725419344184
 1.7439628136766427,3.125535999999996,1.0,180.0,2.803599971465257,-3.00000000000004,0,-46.64216933084555,0.0,88.9012328680922
 1.7550721092210282,3.0945751039999965,1.0,180.0,2.7702720848321007,-2.99999999999998,0,-45.65453926065368,0.0,87.92864347928578
 1.7662246457446158,3.063866111999996,1.0,180.0,2.7368144752613377,-3.00000000000002,0,-44.67391185278143,0.0,86.95491806658981
 1.7774197559783083,3.0334151679999968,1.0,180.0,2.70322914456026,-3.00000000000002,0,-43.70044195966426,0.0,85.98020634941568
 1.7886567452483109,3.0032284159999962,1.0,180.0,2.6695181767502523,-3.0,0,-42.73428330348327,0.0,85.00466380027788
 1.7999348893963256,2.9733119999999964,1.0,180.0,2.635683744306208,-3.0,0,-41.7755884518902,0.0,84.02845201404507
 1.8112534325228316,2.943672063999996,1.0,180.0,2.6017281149266904,-2.9999999999999805,0,-40.8245087939157,0.0,83.05173911887591
 1.8226115845357895,2.914314751999996,1.0,180.0,2.5676536588878167,-2.9999999999999805,0,-39.881194516062976,0.0,82.07470023321098
 1.8340085184851465,2.8852462079999963,1.0,180.0,2.5334628570397464,-2.999999999999961,0,-38.9457945785918,0.0,81.09751797458176
 1.8454433676612543,2.8564725759999963,1.0,180.0,2.499158309511423,-2.9999999999999805,0,-38.018456691995766,0.0,80.12038302621545
 1.8569152224328134,2.827999999999996,1.0,180.0,2.4647427451967463,-2.9999999999999614,0,-37.099327293677334,0.0,79.14349476876727
 1.8684231267970968,2.7998346239999967,1.0,180.0,2.430219032103896,-3.0,0,-36.1885515248232,0.0,78.1670619849781
 1.8799660746120113,2.771982591999996,1.0,180.0,2.3955901886591526,-3.0,0,-35.28627320748541,0.0,77.19130364701017
 1.89154300547591,2.7444500479999965,1.0,180.0,2.3608593960674567,-3.0,0,-34.39263482186976,0.0,76.21644979664494
 1.9031528002169906,2.7172431359999965,1.0,180.0,2.3260300118442143,-3.000000000000019,0,-33.50777748383683,0.0,75.24274253109377
 1.9147942759494447,2.6903679999999963,1.0,180.0,2.291105584646852,-2.999999999999981,0,-32.63184092261781,0.0,74.2704371082692
 1.9264661806482715,2.6638307839999964,1.0,180.0,2.256089870550372,-3.0,0,-31.76496345874989,0.0,73.2998031881487
 1.9381671871886927,2.6376376319999966,1.0,180.0,2.220986850929108,-3.000000000000019,0,-30.90728198223377,0.0,72.33112622915583
 1.9498958867893166,2.6117946879999963,1.0,180.0,2.185800752127237,-2.9999999999999623,0,-30.058931930917197,0.0,71.36470906172066
 1.9616507817904858,2.5863080959999967,1.0,180.0,2.1505360671237295,-2.999999999999981,0,-29.22004726910768,0.0,70.40087366469633
 1.9734302776904864,2.5611839999999964,1.0,180.0,2.1151975794237274,-3.0000000000000187,0,-28.39076046641793,0.0,69.4399631748472
 1.985232674352289,2.5364285439999965,1.0,180.0,2.0797903894383194,-3.0000000000000187,0,-27.571202476847418,0.0,68.48234416455368
 1.997056156282148,2.5120478719999966,1.0,180.0,2.044319943648742,-3.0000000000000187,0,-26.76150271810343,0.0,67.52840922934669
 2.008898781868412,2.488048127999997,1.0,180.0,2.00879206688995,-2.9999999999999813,0,-25.96178905116426,0.0,66.57857993396556
 2.020758471454149,2.464435455999997,1.0,180.0,1.9732129981327402,-2.9999999999999627,0,-25.172187760088264,0.0,65.63331017474339
 2.0326329941003536,2.4412159999999967,1.0,180.0,1.9375894301941257,-3.0000000000000373,0,-24.392823532072896,0.0,64.69309002713806
 2.0445199528773434,2.418395903999997,1.0,180.0,1.9019285538631565,-2.9999999999999627,0,-23.62381943776421,0.0,63.758450159605474
 2.0564167685000876,2.395981311999997,1.0,180.0,1.8662381069949239,-3.0000000000000187,0,-22.865296911823464,0.0,62.82996691190995
 2.068320661098369,2.373978367999997,1.0,180.0,1.8305264292000802,-2.9999999999999813,0,-22.11737573375052,0.0,61.908268154511646
 2.0802286298843966,2.3523932159999967,1.0,180.0,1.7948025228419966,-3.0000000000000373,0,-21.38017400896956,0.0,60.994040070316395
 2.0921374304484077,2.3312319999999973,1.0,180.0,1.7590761211499628,-3.0000000000000373,0,-20.65380815017886,0.0,60.088035029280086
 2.1040435493764513,2.310500863999997,1.0,180.0,1.7233577643658315,-3.0000000000000373,0,-19.938392858967802,0.0,59.19108076312582
 2.1159431758435248,2.290205951999997,1.0,180.0,1.6876588849646115,-2.9999999999999813,0,-19.23404110770423,0.0,58.304091093169426
 2.1278321697891096,2.2703534079999974,1.0,180.0,1.651991903127857,-3.0,0,-18.54086412169471,0.0,57.428078521554475
 2.1397060262305665,2.250949375999997,1.0,180.0,1.6163703338034867,-2.9999999999999627,0,-17.85897136162106,0.0,56.564169068760684
